team,rating,average_rank,average_rating,total_matches,home_matches,away_matches,neutral_matches,wins,losses,draws,goals_for,goals_against
Bermuda,1205,126,1288,203,94,70,39,67,95,41,321,339
Chad,1189,133,1247,155,40,53,62,32,89,34,146,289
Guyana,1184,102,1294,421,174,180,67,126,209,86,521,735
Saint Kitts and Nevis,1177,135,1178,215,107,68,40,91,84,40,379,316
Dominican Republic,1176,160,1031,155,72,51,32,53,77,25,227,262
New Caledonia,1172,99,1366,265,83,63,119,129,105,31,689,398
Antigua and Barbuda,1164,142,1188,260,105,95,60,93,119,48,378,433
Tahiti,1158,99,1400,236,54,69,113,125,77,34,655,360
Eritrea,1144,163,1163,84,20,27,37,15,50,19,57,136
Hong Kong,1139,120,1292,470,162,139,169,167,212,91,746,804
Grenada,1136,96,1387,271,97,104,70,94,112,65,440,479
Vanuatu,1126,155,1107,194,43,45,106,60,107,27,361,419
Singapore,1122,132,1231,720,291,164,265,221,352,147,958,1301
Andorra,1108,183,1044,196,80,89,27,13,158,25,66,483
South Sudan,1104,181,1076,54,9,18,27,9,36,9,36,98
Yemen,1098,143,1215,265,53,77,135,57,159,49,256,543
Philippines,1095,132,1069,351,89,108,154,85,215,51,366,934
Afghanistan,1095,167,901,139,9,50,80,33,74,32,138,289
Puerto Rico,1088,162,933,169,61,63,45,33,111,25,167,448
Belize,1077,136,1116,103,33,38,32,22,61,20,103,199
São Tomé and Príncipe,1071,173,1061,62,24,26,12,10,45,7,49,165
Gibraltar,1069,178,1086,84,30,35,19,14,60,10,53,256
Saint Vincent and the Grenadines,1064,105,1339,323,118,123,82,114,134,75,495,586
Saint Lucia,1049,124,1243,226,76,93,57,73,116,37,314,424
Barbados,1007,118,1249,344,156,119,69,108,147,89,430,547
Somaliland,1002,189,1000,2,0,0,2,1,0,1,4,3
Western Sahara,996,190,996,1,0,1,0,0,1,0,0,6
Dominica,991,128,1206,219,65,85,69,53,119,47,258,436
Liechtenstein,978,164,1130,225,101,110,14,17,180,28,95,637
Bonaire,974,147,1043,84,12,50,22,20,54,10,96,214
Montserrat,965,189,626,56,12,20,24,13,36,7,61,197
Greenland,963,184,977,20,2,7,11,5,14,1,33,42
Aruba,959,121,1208,184,77,69,38,44,99,41,262,424
Mauritius,951,103,1349,315,106,139,70,89,155,71,407,513
Maldives,936,190,886,217,57,70,90,62,118,37,272,492
Nepal,933,190,886,268,70,71,127,62,159,47,231,625
Myanmar,930,130,1244,503,90,123,290,204,208,91,830,853
Monaco,903,199,900,9,0,1,8,4,2,3,11,15
Somalia,899,163,1086,127,10,37,80,14,97,16,68,331
Seychelles,884,181,981,164,47,52,65,22,111,31,128,345
Taiwan,881,142,1181,312,83,95,134,88,175,49,428,730
Pakistan,870,149,1123,257,55,84,118,60,150,47,251,565
Djibouti,864,175,872,102,28,32,42,8,86,8,68,377
Bahamas,861,187,883,67,24,22,21,15,44,8,65,209
Cambodia,847,157,1064,281,63,77,141,62,181,38,314,746
Bangladesh,844,181,983,291,77,82,132,76,152,63,263,532
Cayman Islands,840,181,1019,109,49,32,28,20,67,22,105,269
Saint Martin,840,186,989,61,13,24,24,21,34,6,83,151
Mongolia,803,188,848,83,17,31,35,19,54,10,92,241
San Marino,784,193,928,194,94,95,5,1,184,9,28,798
Sint Maarten,780,185,912,51,13,19,19,13,29,9,72,139
Chagos Islands,776,211,788,3,0,0,3,0,2,1,4,10
Tuvalu,738,203,745,31,0,4,27,7,20,4,39,175
Turks and Caicos Islands,730,209,779,39,10,16,13,8,29,2,39,164
Saint Barthélemy,715,217,702,8,6,2,0,3,4,1,18,25
Guam,705,205,694,120,24,36,60,27,81,12,145,563
Wallis and Futuna,701,199,700,24,0,5,19,5,19,0,23,109
Macao,698,169,971,152,49,47,56,24,112,16,137,465
Vatican,692,216,697,5,0,0,5,0,3,2,1,6
Cook Islands,683,204,683,48,4,11,33,11,33,4,44,249
Samoa,678,210,655,64,26,10,28,18,42,4,86,246
Saint Pierre and Miquelon,677,222,679,7,0,0,7,0,7,0,2,78
Sri Lanka,675,177,914,257,57,79,121,47,167,43,246,674
US Virgin Islands,662,216,695,64,21,28,15,8,48,8,33,262
Laos,653,183,905,212,39,58,115,40,142,30,215,681
Tibet,630,206,668,10,0,3,7,0,9,1,8,38
East Timor,623,224,624,75,5,38,32,8,60,7,71,241
Anguilla,621,221,556,87,20,38,29,10,69,8,52,342
British Virgin Islands,616,204,802,114,29,50,35,19,78,17,102,362
Brunei,615,199,785,128,21,36,71,21,95,12,105,402
Falkland Islands,580,226,587,3,0,1,2,0,3,0,0,21
Federated States of Micronesia,564,227,573,8,1,3,4,1,7,0,8,64
Bhutan,563,216,599,93,14,32,47,8,79,6,54,360
Kiribati,545,216,581,11,0,2,9,0,10,1,7,126
Tonga,528,210,663,62,8,14,40,14,42,6,70,242
Niue,496,222,496,2,0,0,2,0,2,0,0,33
Eastern Samoa,472,222,473,51,0,13,38,4,45,2,30,340
Northern Mariana Islands,404,229,524,28,3,11,14,3,23,2,33,121
Palau,403,233,403,2,2,0,0,0,2,0,3,27
